date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2022-11-20,1908,FIFA World Cup,Qatar,Ecuador,51.0,72.74,0.2369,0.5045,0.2586,1.13,1.75,0,2,0.23,1.14,0.24,1.35,0.0,2.1
2022-11-21,1908,FIFA World Cup,England,Iran,85.96,62.17,0.6274,0.1187,0.2539,1.7,0.58,6,2,1.04,1.45,1.5,0.32,5.78,2.1
2022-11-21,1908,FIFA World Cup,Senegal,Netherlands,73.84,86.01,0.2235,0.5053,0.2712,0.99,1.63,0,2,0.7,0.68,1.22,1.83,0.0,1.58
2022-11-21,1908,FIFA World Cup,USA,Wales,74.83,65.58,0.4489,0.2591,0.292,1.42,1.01,1,1,0.33,1.78,0.48,0.95,1.05,1.05
2022-11-22,1908,FIFA World Cup,Argentina,Saudi Arabia,87.21,56.87,0.7228,0.0807,0.1966,2.11,0.54,1,2,1.63,0.15,2.4,0.53,1.05,2.1
2022-11-22,1908,FIFA World Cup,Denmark,Tunisia,80.02,65.85,0.5001,0.2054,0.2945,1.44,0.82,0,0,0.66,1.16,1.33,0.69,0.0,0.0
2022-11-22,1908,FIFA World Cup,Mexico,Poland,74.3,68.28,0.4238,0.2802,0.296,1.37,1.06,0,0,0.45,1.02,1.19,0.49,0.0,0.0
2022-11-22,1908,FIFA World Cup,France,Australia,87.71,60.83,0.6921,0.1009,0.207,2.09,0.65,4,1,3.03,0.26,3.01,0.3,4.18,1.05
2022-11-23,1908,FIFA World Cup,Morocco,Croatia,75.62,78.84,0.3176,0.3898,0.2926,1.18,1.34,0,0,0.28,0.88,0.54,0.64,0.0,0.0
2022-11-23,1908,FIFA World Cup,Germany,Japan,88.77,71.44,0.6041,0.174,0.2219,2.14,1.06,1,2,3.1,1.2,3.1,0.85,1.05,2.1
2022-11-23,1908,FIFA World Cup,Spain,Costa Rica,89.51,55.46,0.7623,0.0595,0.1781,2.19,0.44,7,0,2.39,0.0,1.71,0.15,6.22,0.0
2022-11-23,1908,FIFA World Cup,Belgium,Canada,82.49,71.59,0.4888,0.2462,0.265,1.68,1.12,1,0,0.65,2.6,1.18,2.31,1.05,0.0
2022-11-24,1908,FIFA World Cup,Switzerland,Cameroon,77.65,64.16,0.4991,0.2186,0.2823,1.53,0.92,1,0,1.0,0.61,1.16,0.9,1.05,0.0
2022-11-24,1908,FIFA World Cup,Uruguay,South Korea,80.9,66.12,0.5256,0.1906,0.2838,1.52,0.8,0,0,0.48,0.4,0.89,0.74,0.0,0.0
2022-11-24,1908,FIFA World Cup,Portugal,Ghana,87.77,58.63,0.6974,0.0912,0.2114,2.0,0.56,3,2,1.89,0.52,1.63,0.27,2.9,2.1
2022-11-24,1908,FIFA World Cup,Brazil,Serbia,93.55,75.84,0.6787,0.1124,0.2089,2.11,0.72,2,0,1.48,0.18,1.4,0.36,2.02,0.0
2022-11-25,1908,FIFA World Cup,Wales,Iran,67.64,63.33,0.3875,0.2969,0.3156,1.2,1.01,0,2,0.9,1.43,0.89,1.67,0.0,1.26
2022-11-25,1908,FIFA World Cup,Qatar,Senegal,48.16,73.23,0.2098,0.5228,0.2674,0.96,1.66,1,3,0.94,0.75,1.06,1.28,1.05,2.81
2022-11-25,1908,FIFA World Cup,Netherlands,Ecuador,86.07,74.37,0.4949,0.2248,0.2803,1.55,0.95,1,1,0.07,0.8,0.43,1.09,1.05,1.05
2022-11-25,1908,FIFA World Cup,England,USA,86.26,72.63,0.5436,0.1965,0.2598,1.73,0.94,0,0,0.62,0.52,1.34,0.74,0.0,0.0
2022-11-26,1908,FIFA World Cup,Tunisia,Australia,66.48,58.65,0.3883,0.2894,0.3223,1.16,0.96,0,1,0.89,0.5,1.3,0.65,0.0,1.05
2022-11-26,1908,FIFA World Cup,Poland,Saudi Arabia,68.14,59.01,0.4061,0.2911,0.3029,1.3,1.05,2,0,1.73,2.17,1.6,1.16,1.8,0.0
2022-11-26,1908,FIFA World Cup,France,Denmark,89.25,78.87,0.5064,0.2192,0.2744,1.6,0.96,2,1,2.06,0.5,2.3,0.7,2.1,1.05
2022-11-26,1908,FIFA World Cup,Argentina,Mexico,86.09,73.48,0.5079,0.1993,0.2928,1.45,0.8,2,0,0.26,0.18,0.72,0.45,1.66,0.0
2022-11-27,1908,FIFA World Cup,Japan,Costa Rica,71.98,51.99,0.5955,0.1498,0.2547,1.74,0.74,0,1,0.7,0.14,1.15,0.09,0.0,1.05
2022-11-27,1908,FIFA World Cup,Belgium,Morocco,80.54,74.67,0.407,0.3057,0.2873,1.41,1.18,0,2,0.88,0.48,0.91,0.42,0.0,1.58
2022-11-27,1908,FIFA World Cup,Croatia,Canada,78.46,73.84,0.4069,0.2893,0.3037,1.29,1.05,4,1,1.56,0.37,1.6,0.85,3.68,1.05
2022-11-27,1908,FIFA World Cup,Spain,Germany,91.22,88.73,0.4619,0.2781,0.26,1.72,1.28,1,1,0.57,0.91,1.32,1.06,1.05,1.05
2022-11-28,1908,FIFA World Cup,Cameroon,Serbia,63.62,74.55,0.2444,0.4575,0.2981,0.94,1.39,3,3,0.91,1.2,0.85,1.95,3.15,3.15
